Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 79.0.3945.130,,,2020-02-03 14:19:16,2020-02-03 14:23:24,4m - 7.559s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Modules/Login/GSM Login,Chrome 79.0.3945.130,,,2020-02-03 14:19:16,2020-02-03 14:19:58,41.430s,PASSED
"openBrowser("""")",Chrome 79.0.3945.130,,,2020-02-03 14:19:18,2020-02-03 14:19:26,7.175s,PASSED
navigateToUrl(url),Chrome 79.0.3945.130,,,2020-02-03 14:19:26,2020-02-03 14:19:34,8.834s,PASSED
maximizeWindow(),Chrome 79.0.3945.130,,,2020-02-03 14:19:34,2020-02-03 14:19:39,4.181s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 79.0.3945.130,,,2020-02-03 14:19:39,2020-02-03 14:19:39,0.003s,NOT_RUN
delay(3),Chrome 79.0.3945.130,,,2020-02-03 14:19:39,2020-02-03 14:19:39,0.002s,NOT_RUN
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 79.0.3945.130,,,2020-02-03 14:19:39,2020-02-03 14:19:43,4.851s,PASSED
delay(2),Chrome 79.0.3945.130,,,2020-02-03 14:19:43,2020-02-03 14:19:45,2.040s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 79.0.3945.130,,,2020-02-03 14:19:45,2020-02-03 14:19:50,4.625s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 79.0.3945.130,,,2020-02-03 14:19:50,2020-02-03 14:19:53,2.679s,PASSED
delay(5),Chrome 79.0.3945.130,,,2020-02-03 14:19:53,2020-02-03 14:19:58,5.007s,PASSED
"verifyElementText(findTestObject(""GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Chrome 79.0.3945.130,,,2020-02-03 14:19:58,2020-02-03 14:19:58,0.004s,NOT_RUN
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 79.0.3945.130,,,2020-02-03 14:19:58,2020-02-03 14:20:48,49.841s,FAILED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 79.0.3945.130,,,2020-02-03 14:19:59,2020-02-03 14:20:03,3.702s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-03 14:20:03,2020-02-03 14:20:48,44.923s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Edit Offer,Chrome 79.0.3945.130,,,2020-02-03 14:20:48,2020-02-03 14:21:40,52.153s,FAILED
delay(5),Chrome 79.0.3945.130,,,2020-02-03 14:20:48,2020-02-03 14:20:53,5.005s,PASSED
"click(findTestObject(""Object Repository/Edit Offer/Page_Templates/a_Offers""))",Chrome 79.0.3945.130,,,2020-02-03 14:20:53,2020-02-03 14:21:40,46.771s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Modules/Content Management/OFFERS/Delete Offer,Chrome 79.0.3945.130,,,2020-02-03 14:21:40,2020-02-03 14:22:34,53.961s,FAILED
delay(5),Chrome 79.0.3945.130,,,2020-02-03 14:21:40,2020-02-03 14:21:45,5.029s,PASSED
delay(2),Chrome 79.0.3945.130,,,2020-02-03 14:21:45,2020-02-03 14:21:47,2.014s,PASSED
"click(findTestObject(""Delete Offer/Page_Offers/div_Most Recent Uploads_library-table-checkbox no-label checkbox""))",Chrome 79.0.3945.130,,,2020-02-03 14:21:47,2020-02-03 14:22:34,46.563s,FAILED
,,,,,,,
Test Cases/Test Scenarios/Modules/Logout/GSM Logout,Chrome 79.0.3945.130,,,2020-02-03 14:22:34,2020-02-03 14:23:24,49.771s,FAILED
"click(findTestObject(""GSM Logout/Page_Templates/a_Help_user-panel-dropdown-4""))",Chrome 79.0.3945.130,,,2020-02-03 14:22:34,2020-02-03 14:22:37,2.535s,PASSED
"click(findTestObject(""GSM Logout/Page_Templates/a_Log Out""))",Chrome 79.0.3945.130,,,2020-02-03 14:22:37,2020-02-03 14:23:24,46.944s,FAILED
